country,ref_year,pub_date,summary_path
TUR,2007,2008-07-01,text/TUR_2007.txt
TUR,2010,2011-07-01,text/TUR_2010.txt
TUR,2011,2012-07-01,text/TUR_2011.txt
TUR,2012,2013-07-01,text/TUR_2012.txt
TUR,2013,2014-07-01,text/TUR_2013.txt
TUR,2014,2015-07-01,text/TUR_2014.txt
TUR,2016,2017-07-01,text/TUR_2016.txt
TUR,2017,2018-07-01,text/TUR_2017.txt
TUR,2018,2019-07-01,text/TUR_2018.txt
TUR,2019,2020-07-01,text/TUR_2019.txt
TUR,2021,2022-07-01,text/TUR_2021.txt
TUR,2022,2023-07-01,text/TUR_2022.txt
UKR,2005,2006-07-01,text/UKR_2005.txt
UKR,2006,2007-07-01,text/UKR_2006.txt
UKR,2008,2009-07-01,text/UKR_2008.txt
UKR,2012,2013-07-01,text/UKR_2012.txt
UKR,2013,2014-07-01,text/UKR_2013.txt
UKR,2016,2017-07-01,text/UKR_2016.txt
UKR,2023,2024-07-01,text/UKR_2023.txt
USA,2005,2006-07-01,text/USA_2005.txt
USA,2006,2007-07-01,text/USA_2006.txt
USA,2007,2008-07-01,text/USA_2007.txt
USA,2008,2009-07-01,text/USA_2008.txt
USA,2009,2010-07-01,text/USA_2009.txt
USA,2010,2011-07-01,text/USA_2010.txt
USA,2011,2012-07-01,text/USA_2011.txt
USA,2012,2013-07-01,text/USA_2012.txt
USA,2013,2014-07-01,text/USA_2013.txt
USA,2014,2015-07-01,text/USA_2014.txt
USA,2015,2016-07-01,text/USA_2015.txt
USA,2016,2017-07-01,text/USA_2016.txt
USA,2017,2018-07-01,text/USA_2017.txt
USA,2018,2019-07-01,text/USA_2018.txt
USA,2019,2020-07-01,text/USA_2019.txt
USA,2020,2021-07-01,text/USA_2020.txt
USA,2021,2022-07-01,text/USA_2021.txt
USA,2022,2023-07-01,text/USA_2022.txt
USA,2023,2024-07-01,text/USA_2023.txt
UZB,2006,2007-07-01,text/UZB_2006.txt
UZB,2008,2009-07-01,text/UZB_2008.txt
UZB,2012,2013-07-01,text/UZB_2012.txt
UZB,2018,2019-07-01,text/UZB_2018.txt
UZB,2019,2020-07-01,text/UZB_2019.txt
UZB,2021,2022-07-01,text/UZB_2021.txt
UZB,2022,2023-07-01,text/UZB_2022.txt
